"seq","type","pay_type","role","date","clinicId","ok","status","jobId","error"
"1","temporary","percentage_of_revenue","insurance_verification","2026-05-03","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","f9cc8519-44b6-4042-b383-02bcc3a5f98b",
"2","multiday","percentage_of_revenue","dental_assistant","2026-05-19..2026-05-23","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","91527007-4f4d-4b3c-b02b-0f13f9691148",
"3","temporary","percentage_of_revenue","dentist","2026-04-25","03215fde-7131-413a-bcf6-a562ec642692","True","200","3b298b36-023a-4b8b-8aad-2888d7e8f224",
"4","permanent",,"patient_coordinator_front","2026-05-25","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","8685328b-747b-4e2c-8828-2d5a41f65536",
"5","permanent",,"treatment_coordinator_front","2026-05-13","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","5d55f515-e6b3-4efd-9680-3a58a752ca21",
"6","temporary","per_transaction","patient_coordinator_front","2026-05-13","03215fde-7131-413a-bcf6-a562ec642692","True","200","51dbb55a-4adc-4205-9bde-595cd3c494f2",
"7","multiday","per_transaction","insurance_verification","2026-05-12..2026-05-16","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","e2e52083-b74e-4939-9916-a8349d151fb7",
"8","multiday","per_hour","associate_dentist","2026-05-03..2026-05-09","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","273da50f-e99e-46df-8442-7a9115208b6b",
"9","multiday","per_hour","treatment_coordinator_front","2026-05-13..2026-05-22","03215fde-7131-413a-bcf6-a562ec642692","True","200","3b0a9cc9-dc92-4269-a127-aa07f9af2ed4",
"10","permanent",,"insurance_verification","2026-05-02","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","0164db73-db7a-4523-a4db-f006b3536f34",
"11","permanent",,"associate_dentist","2026-05-18","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","01a7f3c7-84c9-4e18-a577-bfab90496aac",
"12","temporary","per_hour","treatment_coordinator_front","2026-05-26","03215fde-7131-413a-bcf6-a562ec642692","True","200","b5ad111d-6239-495f-818b-6886a75e6130",
"13","temporary","per_hour","billing_coordinator","2026-05-19","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","8630c4d8-5e76-41ff-8f49-28b8d64d7f6c",
"14","permanent",,"dental_assistant","2026-05-27","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","fb683643-48c2-44b4-9605-961a1fa1bb1d",
"15","temporary","percentage_of_revenue","associate_dentist","2026-05-08","03215fde-7131-413a-bcf6-a562ec642692","True","200","19b02d45-90f5-4313-b7d4-b06fcc76b5d1",
"16","permanent",,"treatment_coordinator_front","2026-05-02","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","d2ee4e48-5036-4e90-839b-9e79fdf68c2e",
"17","temporary","per_hour","insurance_verification","2026-05-27","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","ba617afd-a946-40eb-93a6-743492a98710",
"18","multiday","per_transaction","dental_assistant","2026-05-09..2026-05-12","03215fde-7131-413a-bcf6-a562ec642692","True","200","835f5f3c-3cdc-44f3-ada4-6a01e56a1b6b",
"19","multiday","percentage_of_revenue","dentist","2026-05-24..2026-05-26","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","ee274013-902f-4c3a-b638-7a924e59cac4",
"20","temporary","per_transaction","dental_hygienist","2026-05-24","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","4b8a2820-3d36-4bd9-aad1-cd46a565a002",
"21","multiday","per_hour","billing_coordinator","2026-05-19..2026-05-21","03215fde-7131-413a-bcf6-a562ec642692","True","200","7033f0e5-e89a-477e-b982-8f3d78dd88af",
"22","multiday","per_transaction","dental_hygienist","2026-05-19..2026-05-28","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","0d5134e8-4fe1-463e-9db2-341e36973374",
"23","temporary","per_hour","billing_coordinator","2026-05-01","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","afa64390-0190-44b7-b0b9-24ed466db850",
"24","temporary","per_hour","treatment_coordinator_front","2026-05-04","03215fde-7131-413a-bcf6-a562ec642692","True","200","22095f0a-824a-4926-a933-332b0fd7c6e7",
"25","temporary","per_hour","patient_coordinator_front","2026-05-08","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","aca33295-3537-47fd-b5ec-d15dfa614931",
"26","temporary","percentage_of_revenue","treatment_coordinator_front","2026-05-10","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","d8a176d6-19f4-4077-b509-41317bb665b5",
"27","multiday","percentage_of_revenue","dentist","2026-05-05..2026-05-13","03215fde-7131-413a-bcf6-a562ec642692","True","200","8bb58630-aacd-4af2-befd-1defb300b83a",
"28","multiday","per_transaction","insurance_verification","2026-05-11..2026-05-14","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","372ad47e-78b8-4069-a3f1-b83a77f3220a",
"29","temporary","per_hour","dentist","2026-04-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","dfd7ea0d-b6bb-49d8-a40a-df0d1c2f116c",
"30","permanent",,"patient_coordinator_front","2026-05-29","03215fde-7131-413a-bcf6-a562ec642692","True","200","95c04c4f-8987-4309-b5da-d6ef3b366d6b",
"31","permanent",,"insurance_verification","2026-05-30","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","66b681a5-92ee-4245-b018-b7536ee6e58f",
"32","temporary","per_hour","billing_coordinator","2026-05-22","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","868ce2dc-ef1b-4dac-a2ec-9903edd9f7e7",
"33","multiday","percentage_of_revenue","patient_coordinator_front","2026-05-10..2026-05-15","03215fde-7131-413a-bcf6-a562ec642692","True","200","25be66e9-bcff-41b2-882b-04f45b82cf1b",
"34","multiday","per_transaction","dental_hygienist","2026-04-28..2026-05-06","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","760a6b63-1961-41bc-a9af-a2051b9ea24b",
"35","permanent",,"dental_hygienist","2026-05-20","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","e6d9390b-532b-4a03-adab-c9feec649e8b",
"36","multiday","percentage_of_revenue","dental_assistant","2026-05-14..2026-05-18","03215fde-7131-413a-bcf6-a562ec642692","True","200","71b3de34-09ab-43a2-8e7c-9ea1c95725b7",
"37","permanent",,"dentist","2026-05-23","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","7124dfad-f8a1-42cf-a78b-d2178437d644",
"38","permanent",,"dental_hygienist","2026-05-20","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","9a47ed20-3ab4-4b1e-a4bb-ca0c9bfb9b8c",
"39","multiday","per_transaction","dental_hygienist","2026-05-11..2026-05-18","03215fde-7131-413a-bcf6-a562ec642692","True","200","17a5aea8-b1ad-45ed-b6f1-b09a973e298c",
"40","multiday","percentage_of_revenue","associate_dentist","2026-05-02..2026-05-09","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","a7d9a5b7-ec95-466d-a38b-dcb0edaf2212",
"41","permanent",,"associate_dentist","2026-05-29","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","abc05e63-ad02-4683-8e5a-a1f87000ba6f",
"42","permanent",,"associate_dentist","2026-05-14","03215fde-7131-413a-bcf6-a562ec642692","True","200","a31a55eb-c897-4bb0-aedc-bbc0285f4952",
"43","permanent",,"treatment_coordinator_front","2026-05-28","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","b87d6155-f3f7-48d5-9f5c-8fca4d57b8b0",
"44","temporary","per_hour","dental_assistant","2026-05-03","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","7a8d9f51-f13e-4aeb-8dbc-01129d95d1dc",
"45","permanent",,"patient_coordinator_front","2026-05-24","03215fde-7131-413a-bcf6-a562ec642692","True","200","cdce5ce8-9558-49dd-8bb9-5670fd9f63fb",
"46","permanent",,"billing_coordinator","2026-05-03","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","244ff069-7e6e-4e73-a2cb-d2831e842048",
"47","multiday","percentage_of_revenue","treatment_coordinator_front","2026-05-12..2026-05-21","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","0216fca6-695d-4994-aa31-0205239b61aa",
"48","multiday","percentage_of_revenue","dental_assistant","2026-05-16..2026-05-18","03215fde-7131-413a-bcf6-a562ec642692","True","200","623d0f01-8f7e-4bcb-8af7-a0af861df884",
"49","multiday","per_transaction","insurance_verification","2026-05-13..2026-05-15","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","edc306c5-1377-46c5-b93f-41207e1ba471",
"50","multiday","percentage_of_revenue","treatment_coordinator_front","2026-05-13..2026-05-19","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","50d9514e-aa50-48c7-94b0-8663df2beab3",
"51","multiday","percentage_of_revenue","dental_hygienist","2026-05-08..2026-05-13","03215fde-7131-413a-bcf6-a562ec642692","True","200","33bc55e1-9b0d-45cb-bb24-fa0c44580895",
"52","temporary","percentage_of_revenue","billing_coordinator","2026-05-14","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","fa7f87bd-d7a1-4bf5-9e66-3755121aff4e",
"53","temporary","per_hour","insurance_verification","2026-05-15","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","738192b2-b57f-4b7a-aa14-21530557d259",
"54","multiday","per_hour","billing_coordinator","2026-05-19..2026-05-25","03215fde-7131-413a-bcf6-a562ec642692","True","200","88186c5c-8658-41d9-a1ed-f680b5e77425",
"55","permanent",,"associate_dentist","2026-05-15","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","7dbf7709-c97f-4a0d-991d-2a58288bd412",
"56","permanent",,"treatment_coordinator_front","2026-05-24","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","bb6f1689-d026-4d44-ba08-d84e0b760c8a",
"57","multiday","per_transaction","dental_assistant","2026-04-25..2026-04-26","03215fde-7131-413a-bcf6-a562ec642692","True","200","1c754765-7eed-4ba7-9199-f48c31de7ada",
"58","temporary","per_hour","insurance_verification","2026-04-24","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","b6c9f3a3-001a-463e-8bfe-6517753bd11c",
"59","permanent",,"billing_coordinator","2026-05-18","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","82df0abe-9ccd-42de-bc1c-9220fed7dc87",
"60","multiday","per_transaction","insurance_verification","2026-05-20..2026-05-24","03215fde-7131-413a-bcf6-a562ec642692","True","200","eb8c4452-ab8e-4974-985d-8bb50b9ef49a",
"61","multiday","per_hour","billing_coordinator","2026-05-23..2026-05-24","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","a98591c5-4e47-467c-96b4-397125eb1324",
"62","temporary","per_transaction","patient_coordinator_front","2026-04-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","e14635e8-b341-4b61-8f97-92ddc5a744a4",
"63","multiday","per_hour","insurance_verification","2026-05-17..2026-05-24","03215fde-7131-413a-bcf6-a562ec642692","True","200","eb29cad2-f0d6-43ab-b560-a4f96768a895",
"64","permanent",,"dental_hygienist","2026-05-19","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","7614cec5-3bba-4808-af2d-bfdddd86b1c0",
"65","temporary","per_transaction","dental_hygienist","2026-04-25","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","d5f97280-1341-4131-b37a-65e3a9bd6c1c",
"66","multiday","per_transaction","dental_hygienist","2026-04-27..2026-05-01","03215fde-7131-413a-bcf6-a562ec642692","True","200","c1e2f727-d46f-4874-947c-0ca787fe50cd",
"67","multiday","per_transaction","treatment_coordinator_front","2026-05-06..2026-05-09","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","00e34407-1e5c-48d1-bec2-158e838532e8",
"68","permanent",,"billing_coordinator","2026-05-04","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","62c40d1c-c1ba-4e03-a5ef-34ad4b1fa8cc",
"69","temporary","percentage_of_revenue","patient_coordinator_front","2026-05-09","03215fde-7131-413a-bcf6-a562ec642692","True","200","6cd25b10-1411-4553-acbd-7db11d8e35cc",
"70","permanent",,"insurance_verification","2026-05-26","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","73fe3a83-0edd-4d28-b206-1f114202730d",
"71","temporary","per_transaction","treatment_coordinator_front","2026-05-08","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","a103e283-8aca-4c8e-9dcc-04f2fd9a6f51",
"72","permanent",,"associate_dentist","2026-05-06","03215fde-7131-413a-bcf6-a562ec642692","True","200","6b1f49bb-f899-43cf-902b-d7ec217fe581",
"73","permanent",,"associate_dentist","2026-05-03","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","f1826800-142f-472f-be2f-5bc7ca3ec6f4",
"74","permanent",,"patient_coordinator_front","2026-05-08","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","745e5d29-7fdf-4d13-9c68-99028747f4d8",
"75","temporary","per_hour","insurance_verification","2026-05-19","03215fde-7131-413a-bcf6-a562ec642692","True","200","5377faf8-9b73-4ed2-a6d4-ece3f03796c7",
"76","temporary","per_hour","dentist","2026-04-28","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","64b8a7a5-0b95-4355-b6bd-a911360df4f5",
"77","temporary","per_transaction","patient_coordinator_front","2026-05-01","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","90f56a59-e942-48da-98a7-4bcd61dc17e8",
"78","multiday","percentage_of_revenue","associate_dentist","2026-05-07..2026-05-11","03215fde-7131-413a-bcf6-a562ec642692","True","200","a01e31d4-c0ed-4dc0-bc10-1cadaecfa58f",
"79","permanent",,"patient_coordinator_front","2026-05-27","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","092b9b75-f80f-45ee-bb3c-2c7fb4f07cac",
"80","multiday","per_hour","insurance_verification","2026-05-22..2026-05-28","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","e2d0ab0c-2d49-4dbb-944c-395a72c8ab98",
"81","temporary","per_hour","dental_hygienist","2026-05-31","03215fde-7131-413a-bcf6-a562ec642692","True","200","8a7314c9-2a0f-46ec-99c8-f052570be6f4",
"82","permanent",,"insurance_verification","2026-05-02","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","8d983b19-fb68-4959-b67f-7a484206f862",
"83","multiday","per_transaction","dental_assistant","2026-05-09..2026-05-14","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","f5677eb7-9d64-43a5-9388-e81c3590436e",
"84","permanent",,"treatment_coordinator_front","2026-05-11","03215fde-7131-413a-bcf6-a562ec642692","True","200","01aa5f41-a8a6-4b3b-b124-de2883565870",
"85","temporary","per_hour","insurance_verification","2026-05-22","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","fa4284e7-fd44-438a-9c53-06ac3aed5d5b",
"86","temporary","per_hour","dentist","2026-04-26","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","84202db4-407a-4dbf-b634-78b14f49d4f2",
"87","temporary","per_transaction","patient_coordinator_front","2026-05-08","03215fde-7131-413a-bcf6-a562ec642692","True","200","23ec4486-d199-4b9a-969e-3f5c1e19fe03",
"88","permanent",,"patient_coordinator_front","2026-05-18","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","7f9c0cda-fc85-43ce-a205-308bbf591a87",
"89","permanent",,"treatment_coordinator_front","2026-05-15","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","1ff06ca6-1c50-4258-97eb-6d7ecd315f4b",
"90","multiday","per_transaction","dental_assistant","2026-05-27..2026-05-29","03215fde-7131-413a-bcf6-a562ec642692","True","200","1c9644e1-562b-41ec-8c27-babe1392ada8",
"91","multiday","per_hour","dental_assistant","2026-04-30..2026-05-02","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","ad9940f0-edd7-4c40-81dc-2abd0c4ffe01",
"92","multiday","per_transaction","insurance_verification","2026-05-03..2026-05-07","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","01e3de2f-f5cf-48a2-a859-ec16e2af307b",
"93","temporary","per_hour","dental_assistant","2026-05-04","03215fde-7131-413a-bcf6-a562ec642692","True","200","bd5c4526-cadf-48fa-b08b-e7c82475d514",
"94","permanent",,"dentist","2026-05-30","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","760910c1-9db7-4021-aaa6-ec74b62c31ac",
"95","permanent",,"dental_hygienist","2026-05-15","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","66427d21-5c46-4765-bd91-a09002463a76",
"96","temporary","per_transaction","treatment_coordinator_front","2026-05-28","03215fde-7131-413a-bcf6-a562ec642692","True","200","76b598a1-cf92-4aec-ab2a-c60d2b24644e",
"97","temporary","percentage_of_revenue","dental_hygienist","2026-05-03","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","6561d782-586b-42d8-8d30-91f013523e1f",
"98","permanent",,"insurance_verification","2026-05-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","70ddd6d1-a7cd-4f68-8187-e528069b44cc",
"99","temporary","per_hour","billing_coordinator","2026-05-13","03215fde-7131-413a-bcf6-a562ec642692","True","200","958a6637-6f1e-4a06-bce5-f21cdf1433e3",
"100","temporary","per_hour","dental_assistant","2026-05-02","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","357dfd61-74a6-4049-85f7-4c6de74c624a",
